Date	Order ID	Customer ID	Customer Name	Product	Category	Region	Quantity	Revenue	Profit
2025-05-27	ORD0090	CUS028	Ivy Chen	Water Bottle	Sports	North	4	52.44	30.65
2024-01-27	ORD0091	CUS018	Quinn Hall	Smartphone	Electronics	West	1	574.94	450.81
2024-06-28	ORD0092	CUS038	Leo Harris	Science Book	Books	South	4	134.96	90.02
2024-04-03	ORD0093	CUS011	Ivy Chen	Fiction Novel	Books	South	4	68.4	35.31
2025-05-22	ORD0094	CUS021	Alice Brown	Knife Set	Home & Kitchen	South	1	44.39	27.06
2025-06-10	ORD0095	CUS024	Rosa Adams	Monitor	Electronics	South	4	973.96	748.96
2025-03-28	ORD0096	CUS029	Noah King	Smartphone	Electronics	West	3	1522.14	1131.35
2024-01-30	ORD0097	CUS001	Peter Young	Lipstick	Beauty	South	2	46.76	29.44
2024-04-05	ORD0098	CUS010	Noah King	T-Shirt	Apparel	North	4	113.4	72.22
2025-06-05	ORD0099	CUS016	Mia Scott	Perfume	Beauty	East	4	286.12	163.36
2025-01-27	ORD0100	CUS027	Ivy Chen	Dress	Apparel	North	2	122.02	79.99
